instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address
0x804876A3787c0D05a06A0B4082628daC481F1889+0x95437848-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2+0x2e1a7d4d:0xc02aaa39_0xeeeeeeee,true,false,8512,8512,380,31,0,./abis/weth.json,WETH,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x804876A3787c0D05a06A0B4082628daC481F1889+0x7ee4cbd9-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2+0xd0e30db0:0xeeeeeeee_0xc02aaa39,true,false,8325,8325,185,48,0,./abis/weth.json,ETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0x95b68fe7-0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0x95e3c50b:0x6b175474_0xeeeeeeee,true,false,7247,7247,154,15,0,./abis/uniswap_v1.json,DAI,ETH,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667
0x97dec872013f6b5fb443861090ad931542878126+0xcd7724c3-0x97dec872013f6b5fb443861090ad931542878126+0xf39b5b9b:0xeeeeeeee_0xa0b86991,true,false,5261,5261,164,23,0,./abis/uniswap_v1.json,ETH,USDC,0x97dec872013f6b5fb443861090ad931542878126
0x97dec872013f6b5fb443861090ad931542878126+0x95b68fe7-0x97dec872013f6b5fb443861090ad931542878126+0x95e3c50b:0xa0b86991_0xeeeeeeee,true,false,3170,3170,69,20,0,./abis/uniswap_v1.json,USDC,ETH,0x97dec872013f6b5fb443861090ad931542878126
0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0xcd7724c3-0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667+0xf39b5b9b:0xeeeeeeee_0x6b175474,true,false,2994,2994,74,7,0,./abis/uniswap_v1.json,ETH,DAI,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667
0x4d2f5cfba55ae412221182d8475bc85799a5644b+0x95b68fe7-0x4d2f5cfba55ae412221182d8475bc85799a5644b+0x95e3c50b:0x2260fac5_0xeeeeeeee,true,false,2792,2792,19,5,0,./abis/uniswap_v1.json,WBTC,ETH,0x4d2f5cfba55ae412221182d8475bc85799a5644b
0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883+0xcd7724c3-0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883+0xf39b5b9b:0xeeeeeeee_0x2b591e99,true,false,2358,2358,10,4,0,./abis/uniswap_v1.json,ETH,HEX,0x05cde89ccfa0ada8c88d5a23caaa79ef129e7883
0x58045595e4D6a5711f46633fcCC12efE2fAE244e+0x54b3a03a-0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51+0xa6417ed6:0xa0b86991_0x6b175474,true,false,2312,2312,34,2,0,./abis/curve.json,USDC,DAI,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51
0x3377790759732282873957d06202d6525816e362+0x54b3a03a-0xa5407eae9ba41422680e2e00537571bcc53efbfd+0xa6417ed6:0xa0b86991_0x6b175474,true,false,2197,2197,75,11,0,./abis/curve.json,USDC,DAI,0xa5407eae9ba41422680e2e00537571bcc53efbfd
