instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,query_contract_address,contract_address,,no
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0x41efc025_0xc02aaa39,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,$AAPL,WETH,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,1
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0x41efc025_0x57ab1ec2,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,$AAPL,sUSD,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,2
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0x41efc025_0xeeeeeeee,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,$AAPL,ETH,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,3
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0x94d86317_0xc02aaa39,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,ADEL,WETH,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,4
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x18cbafe5:0x94d86317_0xeeeeeeee,TRUE,FALSE,,,,,,./abis/uniswap_v2_router.json,ADEL,ETH,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,5
0xe5a6c0421388e4249f10da95c9094bde485a885b+0x1e1401f8-0xe5a6c0421388e4249f10da95c9094bde485a885b+0xd5bcb9b5:0x8ab74040_0xa0b86991,TRUE,FALSE,,,,,,./abis/mooniswap.json,AKRO,USDC,0xe5a6c0421388e4249f10da95c9094bde485a885b,0xe5a6c0421388e4249f10da95c9094bde485a885b,,6
0x8ed36239072eaac6d5f174718c16b07e36a2491d+0x1e1401f8-0x8ed36239072eaac6d5f174718c16b07e36a2491d+0xd5bcb9b5:0x8ab74040_0xeeeeeeee,TRUE,FALSE,,,,,,./abis/mooniswap.json,AKRO,ETH,0x8ed36239072eaac6d5f174718c16b07e36a2491d,0x8ed36239072eaac6d5f174718c16b07e36a2491d,,7
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xff208177_0xc02aaa39,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,AMP,WETH,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,8
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xff208177_0xc02aaa39,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,AMP,WETH,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,9
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xd3466427f7ee5d0d9cd68b36df677e51bda26321+0x8201aa3f:0xff208177_0xa0b86991,TRUE,FALSE,226,226,226,0,0,./abis/balancer_pool.json,AMP,USDC,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0xd3466427f7ee5d0d9cd68b36df677e51bda26321,,10
