pool1Name,pool1Address,pool2Name,pool2Address,tokens,added,reverse
uniweth_uniswap,0xd3d2E2692501A5c9Ca623199D38826e513033a17,uniweth_sushiswap,0xDafd66636E2561b0284EDdE37e42d192F2844D40,UNI,True,True
usdcweth_uniswap,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,usdcweth_sushiswap,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC,True,True
wbtcweth_uniswap,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,wbtcweth_sushiswap,0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58,WBTC,True,True
linkweth_uniswap,0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974,linkweth_sushiswap,0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,LINK,True,True
daiweth_uniswap,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,daiweth_sushiswap,0xC3D03e4F041Fd4cD388c549Ee2A29a9E5075882f,DAI,True,True
sushiweth_uniswap,0xCE84867c3c02B05dc570d0135103d3fB9CC19433,sushiweth_sushiswap,0x795065dCc9f64b5614C407a6EFDC400DA6221FB0,SUSHI,True,True
yfiweth_uniswap,0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28,yfiweth_sushiswap,0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,YFI,True,True
kp3rweth_uniswap,0x87fEbfb3AC5791034fD5EF1a615e9d9627C2665D,kp3rweth_sushiswap,0xaf988afF99d3d0cb870812C325C588D8D8CB7De8,KP3R,True,True
snxweth_uniswap,0x43AE24960e5534731Fc831386c07755A2dc33D47,snxweth_sushiswap,0xA1d7b2d891e3A1f9ef4bBC5be20630C2FEB1c470,SNX,True,True
bandweth_uniswap,0xf421c3f2e695C2D4C0765379cCace8adE4a480D9,bandweth_sushiswap,0xA75F7c2F025f470355515482BdE9EFA8153536A8,BAND,True,True
amplweth_uniswap,0xc5be99A02C6857f9Eac67BbCE58DF5572498F40c,amplweth_sushiswap,0xCb2286d9471cc185281c4f763d34A962ED212962,INJ,True,True
wethinj_uniswap,0x3C70f4FAeA49E50AdC8305F2E1Aa0EA326A54fFc,wethinj_sushiswap,0xFb3cD0B8A5371fe93ef92E3988D30Df7931E2820,AMPL,True,True
wetharch_uniswap,0x48a91882552dad988ae758fcb7070b8e9844dec5,wetharch_sushiswap,0x4441eb3076f828d5176f4fe74d7c775542dae106,ARCH,True,True
wethcrv_uniswap,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,wethcrv_sushiswap,0x58dc5a51fe44589beb22e8ce67720b5bc5378009,CRV,True,True
wethsusd_uniswap,0xf80758ab42c3b07da84053fd88804bcb6baa4b5c,wethsusd_sushiswap,0xf1f85b2c54a2bd284b1cf4141d64fd171bd85539,SUSD,True,True
wethhegic_uniswap,0x1273ad5d8f3596a7a39efdb5a4b8f82e8f003fc3,wethhegic_sushiswap,0x6463bd6026a2e7bfab5851b62969a92f7cca0eb6,HEGIC,True,True
wethcomp_uniswap,0xcffdded873554f362ac02f8fb1f02e5ada10516f,wethcomp_sushiswap,0x31503dcb60119a812fee820bb7042752019f2355,COMP,True,True
wethmkr_uniswap,0xc2adda861f89bbb333c90c492cb837741916a225,wethmkr_sushiswap,0xba13afecda9beb75de5c56bbaf696b880a5a50dd,MKR,True,True
wethwnxm_uniswap,0x23bff8ca20aac06efdf23cee3b8ae296a30dfd27,wethwnxm_sushiswap,0xfcff3b04c499a57778ae2cf05584ab24278a7fcb,NXM,True,True
wbtcweth_crypto,0xf02553b9f908ab61f4c1fc0af9a488c76f8ecc85,wbtcweth_sushiswap,0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58,WBTC,True,False
wbtcweth_crypto,0xf02553b9f908ab61f4c1fc0af9a488c76f8ecc85,wbtcweth_uniswap,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,WBTC,True,False
croweth_crypto,0x9ef7e917fb41cc02f78a5c99b42f497ed8979350,croweth_uniswap,0x90704ac59e7e54632b0cc9d22573aecd7eb094ad,CRO,True,False
usdcweth_crypto,0x3aa370aacf4cb08c7e1e7aa8e8ff9418d73c7e0f,usdcweth_uniswap,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,USDC,True,False
usdcweth_crypto,0x3aa370aacf4cb08c7e1e7aa8e8ff9418d73c7e0f,usdcweth_sushiswap,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC,True,False
linkweth_crypto,0x8b59be2fc6fccc2256cc4841843a13ce29da16bd,linkweth_uniswap,0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974,LINK,True,False
linkweth_crypto,0x8b59be2fc6fccc2256cc4841843a13ce29da16bd,linkweth_sushiswap,0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,LINK,True,False
wethcomp_crypto,0x59f7a66a2fbcaf203cee71359b51142238f85b78,wethcomp_uniswap,0xcffdded873554f362ac02f8fb1f02e5ada10516f,COMP,True,False
wethcomp_crypto,0x59f7a66a2fbcaf203cee71359b51142238f85b78,wethcomp_sushiswap,0x31503dcb60119a812fee820bb7042752019f2355,COMP,True,False
yfiweth_crypto,0x50cf1b844068f7dfe89f078fe6d82a7a4a73b180,yfiweth_uniswap,0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28,YFI,True,False
yfiweth_crypto,0x50cf1b844068f7dfe89f078fe6d82a7a4a73b180,yfiweth_sushiswap,0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,YFI,True,False
uniweth_crypto,0xd360131b77ead72f1f23fb185b4896fe01dc8cb5,uniweth_sushiswap,0xDafd66636E2561b0284EDdE37e42d192F2844D40,UNI,True,False
uniweth_crypto,0xd360131b77ead72f1f23fb185b4896fe01dc8cb5,uniweth_uniswap,0xd3d2E2692501A5c9Ca623199D38826e513033a17,UNI,True,False
uniweth_crypto,0x60a26d69263ef43e9a68964ba141263f19d71d51,uniweth_sushiswap,0xC3D03e4F041Fd4cD388c549Ee2A29a9E5075882f,DAI,True,False
uniweth_crypto,0x60a26d69263ef43e9a68964ba141263f19d71d51,uniweth_uniswap,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,DAI,True,False
usdtweth_crypto,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,usdtweth_uniswap,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,USDT,True,False
usdtweth_crypto,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,usdtweth_sushiswap,0x06da0fd433c1a5d7a4faa01111c044910a184553,USDT,True,False
usdtweth_sushiswap,0x06da0fd433c1a5d7a4faa01111c044910a184553,usdtweth_uniswap,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,USDT,True,False
aaveweth_crypto,0x9909d09656fce21d1904f662b99382b887a9c5da,aaveweth_uniswap,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,AAVE,True,False
