id,symbol,pool1,pool2,path,gasAmount,enabled
I0001,weth2wbtc2weth_uniswap2Sushiswap,P0002,P0011,"T0001, T0010, T0001",260000,1
I0002,weth2wbtc2weth_sushiswap2Uniswap,P0011,P0002,"T0001, T0010, T0002",260000,1
I0003,weth2link2weth_uniswap2Sushiswap,P0003,P0012,"T0001, T0002, T0001",260000,1
I0004,weth2link2weth_sushiswap2Uniswap,P0012,P0003,"T0001, T0002, T0002",260000,1
I0005,weth2dai2weth_uniswap2Sushiswap,P0004,P0013,"T0001, T0004, T0001",260000,1
I0006,weth2dai2weth_sushiswap2Uniswap,P0013,P0004,"T0001, T0004, T0002",260000,1
I0007,weth2sushi2weth_uniswap2Sushiswap,P0005,P0014,"T0001, T0005, T0001",260000,1
I0008,weth2sushi2weth_sushiswap2Uniswap,P0014,P0005,"T0001, T0005, T0002",260000,1
I0009,weth2yfi2weth_uniswap2Sushiswap,P0006,P0015,"T0001, T0006, T0001",260000,1
I0010,weth2yfi2weth_sushiswap2Uniswap,P0015,P0006,"T0001, T0006, T0002",260000,1
I0011,weth2kp3r2weth_uniswap2Sushiswap,P0007,P0016,"T0001, T0007, T0001",260000,1
I0012,weth2kp3rweth_sushiswap2Uniswap,P0016,P0007,"T0001, T0007, T0002",260000,1
I0013,weth2snx2weth_uniswap2Sushiswap,P0008,P0017,"T0001, T0003, T0001",260000,1
I0014,weth2snx2weth_sushiswap2Uniswap,P0017,P0008,"T0001, T0003, T0002",260000,1
I0015,weth2band2weth_uniswap2Sushiswap,P0009,P0018,"T0001, T0008, T0001",260000,1
I0016,weth2band2weth_sushiswap2Uniswap,P0018,P0009,"T0001, T0008, T0002",260000,1
I0017,weth2ampl2weth_uniswap2Sushiswap,P0010,P0019,"T0001, T0009, T0001",260000,1
I0018,weth2ampl2weth_sushiswap2Uniswap,P0019,P0010,"T0001, T0009, T0002",260000,1
I0019,weth2inj2weth_uniswap2Sushiswap,P0020,P0021,"T0001, T0012, T0001",260000,1
I0020,weth2inj2weth_sushiswap2Uniswap,P0021,P0020,"T0001, T0012, T0002",260000,1
