,blockNumber,timeStamp,gasUsed,gasPrice,value
0,10728384,1598342633,285942,120000000000,1000000000000000000
1,10730531,1598371432,247800,1000000000000,1600000000000000000
2,10732703,1598400130,247800,101722000000,2260000000000000000
3,10734863,1598428843,247800,79709741240,2986000000000000000
4,10737077,1598457872,270942,120000000000,3784600000000000000
5,10739268,1598486426,247800,120000000000,4663060000000000000
6,10741626,1598518457,247800,97000000000,5629366000000000000
7,10744125,1598551381,247800,74000000000,6692302600000000000
8,10747402,1598594024,247800,55000000000,7861532860000000000
9,10749441,1598621186,247800,73000000000,9147686146000000000
10,10751087,1598642905,247800,110000000000,10562454760600000000
11,10756115,1598710115,247800,71000000000,12118700236660000000
12,10756335,1598713029,247800,281000000000,13830570260326000000
13,10756616,1598716865,247800,110000000000,15713627286358600000
14,10758805,1598745675,247800,250000000000,17784990014994460000
15,10761037,1598775080,247800,251000000000,20063489016493906000
16,10763129,1598803246,247800,300000000000,22569837918143296600
17,10765337,1598832047,247800,320000000000,25326821709957626260
18,10768859,1598879069,247800,220000001459,28359503880953388886
19,10769919,1598893156,247800,301000000000,31695454269048727774
20,10771930,1598918432,315372,200000000000,35364999695953600552
21,10772364,1598924515,106814,228000000000,1279863044000
22,10772408,1598925082,61802,300000000000,767917826000
23,10774048,1598947239,283798,440000000000,39401499665548960607
24,10774118,1598948003,91814,426000000000,14204448260928
25,10776248,1598976053,283798,600000000000,43841649632103856667
26,10777128,1598987583,91814,489000000000,1896859023528
27,10777873,1598997376,91814,480000000000,1792990658927
28,10778459,1599004881,283798,611000000000,48725814595314242334
29,10780602,1599033630,279598,812500000000,54098396054845666568
30,10782775,1599062425,283798,875000000000,60008235660330233225
31,10783508,1599071869,91802,482000000000,397717764664
32,10784947,1599091204,283798,1000000000000,66509059226363256547
33,10786613,1599112947,208793,387000000000,21690900420366833134
34,10786613,1599112947,208793,387000000000,8626856446433
35,10787117,1599120020,268798,1000000000000,73659965148999582202
36,10788351,1599136582,91814,501000000000,3169021380735
37,10789255,1599148821,283793,1200000000000,81525961663899540422
38,10789379,1599150566,208757,466000000000,7500000000000000000
39,10789379,1599150566,208757,466000000000,3686353384841
40,10791410,1599177601,283788,1200000000000,90178557830289494464
41,10791428,1599177775,60846,440000000000,6855374765576
42,10792405,1599190483,208781,251000000000,86221204291367469116
43,10792405,1599190483,208781,251000000000,31662110747429
44,10793688,1599206475,283788,1800000000000,99696413613318443911
