instructions_id,enabled,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,contract_address,abi_pair
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0x6b175474,TRUE,209454,2716,2188,0,0,./abis/uniswap_v2_router.json,ETH,DAI,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHDAI./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0xa0b86991,TRUE,209454,1241,1006,0,0,./abis/uniswap_v2_router.json,ETH,USDC,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHUSDC./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0xdac17f95,TRUE,169558,940,737,0,0,./abis/uniswap_v2_router.json,ETH,USDT,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHUSDT./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0xa0b86991_0xc02aaa39,TRUE,159584,946,757,0,0,./abis/uniswap_v2_router.json,USDC,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,USDCWETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0xc02aaa39_0xeeeeeeee,TRUE,159584,0,0,0,0,./abis/uniswap_v2_router.json,WETH,ETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,WETHETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0x6b175474_0xc02aaa39,TRUE,139636,990,744,0,0,./abis/uniswap_v2_router.json,DAI,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,DAIWETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0xdac17f95_0xc02aaa39,TRUE,119688,2921,2394,0,0,./abis/uniswap_v2_router.json,USDT,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,USDTWETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0x51491077,TRUE,89766,0,0,0,0,./abis/uniswap_v2_router.json,ETH,LINK,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHLINK./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0xeb4c2781,TRUE,89766,0,0,0,0,./abis/uniswap_v2_router.json,ETH,renBTC,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHrenBTC./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0x9f8f72aa,TRUE,69818,0,0,0,0,./abis/uniswap_v2_router.json,ETH,MKR,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHMKR./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0xb4efd85c,TRUE,69818,0,0,0,0,./abis/uniswap_v2_router.json,ETH,RPL,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHRPL./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0xeb4c2781_0xc02aaa39,TRUE,59844,0,0,0,0,./abis/uniswap_v2_router.json,renBTC,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,renBTCWETH./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x7ff36ab5:0xeeeeeeee_0x2260fac5,TRUE,49870,0,0,0,0,./abis/uniswap_v2_router.json,ETH,WBTC,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,ETHWBTC./abis/uniswap_v2_router.json
0x13b76092d9d6a5693f5e662b5ad910961b7be174+0xdf71d7f3-0xf164fc0ec4e93095b804a4795bbe1e041497b92a+0x18cbafe5:0x51491077_0xc02aaa39,TRUE,39896,40,36,0,0,./abis/uniswap_v2_router.json,LINK,WETH,0xf164fc0ec4e93095b804a4795bbe1e041497b92a,LINKWETH./abis/uniswap_v2_router.json
0x804876A3787c0D05a06A0B4082628daC481F1889+0x7ee4cbd9-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2+0xd0e30db0:0xeeeeeeee_0xc02aaa39,TRUE,29922,0,0,0,0,./abis/weth.json,ETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETHWETH./abis/weth.json
0xf173214c720f58e03e194085b1db28b50acdeead+0xcd7724c3-0xf173214c720f58e03e194085b1db28b50acdeead+0xf39b5b9b:0xeeeeeeee_0x51491077,TRUE,29922,0,0,0,0,./abis/uniswap_v1.json,ETH,LINK,0xf173214c720f58e03e194085b1db28b50acdeead,ETHLINK./abis/uniswap_v1.json
0x3fb2f18065926ddb33e7571475c509541d15da0e+0xcd7724c3-0x3fb2f18065926ddb33e7571475c509541d15da0e+0xf39b5b9b:0xeeeeeeee_0xb4efd85c,TRUE,29922,0,0,0,0,./abis/uniswap_v1.json,ETH,RPL,0x3fb2f18065926ddb33e7571475c509541d15da0e,ETHRPL./abis/uniswap_v1.json
